"att_id","prod_id"
18,3428
273,3428
18,3429
274,3429
18,3430
275,3430
18,3431
276,3431
18,3432
277,3432
18,3433
278,3433
18,3443
269,3443
18,3444
270,3444
18,3445
271,3445
18,3446
272,3446
18,3447
273,3447
18,3448
274,3448
18,3449
275,3449
61,3457
270,3457
61,3458
271,3458
61,3459
272,3459
61,3460
273,3460
61,3461
274,3461
61,3462
275,3462
61,3463
276,3463
61,3464
277,3464
8,3473
292,3473
8,3474
293,3474
8,3475
294,3475
8,3476
295,3476
152,3481
297,3481
82,3482
297,3482
75,3483
297,3483
94,3484
152,3484
82,3485
94,3485
75,3486
94,3486
86,3487
152,3487
82,3488
86,3488
75,3489
86,3489
73,3490
152,3490
73,3491
82,3491
73,3492
75,3492
63,3493
152,3493
63,3494
82,3494
63,3495
75,3495
54,3496
152,3496
54,3497
82,3497
54,3498
75,3498
40,3499
152,3499
40,3500
82,3500
40,3501
75,3501
26,3502
152,3502
26,3503
82,3503
26,3504
75,3504
61,3529
73,3529
18,3531
40,3531
40,3532
65,3532
18,3533
54,3533
54,3534
65,3534
18,3535
63,3535
63,3536
65,3536
18,3537
73,3537
65,3538
73,3538
40,3547
65,3547
8,3549
86,3549
40,3551
65,3551
54,3552
65,3552
54,3555
65,3555
40,3557
152,3557
73,3559
152,3559
40,3561
298,3561
54,3562
298,3562
63,3563
298,3563
73,3564
298,3564
86,3565
298,3565
40,3571
299,3571
40,3572
300,3572
54,3573
299,3573
54,3574
300,3574
63,3575
299,3575
63,3576
300,3576
73,3577
299,3577
73,3578
300,3578
86,3579
299,3579
86,3580
300,3580
65,3591
297,3591
65,3592
94,3592
65,3593
86,3593
65,3594
73,3594
63,3595
65,3595
54,3596
65,3596
40,3597
65,3597
26,3598
65,3598
40,3607
152,3607
54,3608
152,3608
63,3609
152,3609
73,3610
152,3610
86,3611
152,3611
94,3617
152,3617
82,3618
94,3618
75,3619
94,3619
86,3620
152,3620
82,3621
86,3621
75,3622
86,3622
73,3623
152,3623
73,3624
82,3624
73,3625
75,3625
63,3626
152,3626
63,3627
82,3627
63,3628
75,3628
54,3629
152,3629
54,3630
82,3630
54,3631
75,3631
40,3632
152,3632
40,3633
82,3633
40,3634
75,3634
82,3653
94,3653
75,3654
94,3654
82,3655
86,3655
