attribute_line_id;product_tmpl_id;attribute_id;value
9987;17592;48;679
9987;17592;48;1195
9988;17592;47;5780
9989;17593;47;1193
9990;17593;48;1195
9990;17593;48;1196
9990;17593;48;1197
9990;17593;48;682
9990;17593;48;1279
9991;17594;58;5781
9991;17594;58;5782
9991;17594;58;5783
9991;17594;58;5784
9992;17595;58;5785
9993;17596;58;5786
9994;17597;66;754
9995;17598;66;1388
9996;17599;66;1388
9997;17600;9;2541
10036;17662;3;5808
10036;17662;3;5809
10037;17663;3;5810
10037;17663;3;5811
10037;17663;3;5812
10038;17664;3;132
10038;17664;3;152
10381;12988;32;1584
10381;12988;32;670
10381;12988;32;671
10381;12988;32;672
10400;18315;43;1746
10401;18316;43;2474
10402;18317;43;2472
10403;18318;43;6063
10403;18318;43;6062
10404;18319;43;2475
10405;18320;43;6064
10405;18320;43;1692
10406;18321;43;1692
10406;18321;43;6033
10409;18324;43;6057
10409;18324;43;1755
10411;18326;43;1691
10412;18327;43;4902
10413;18328;43;4905
10414;18328;44;1786
10415;18329;44;939
10416;18329;43;1784
10417;18330;44;1762
10418;18330;43;4905
10418;18330;43;6065
10419;18331;43;1749
10419;18331;43;1784
10420;18331;44;939
10423;18333;43;1749
10423;18333;43;1755
10424;18334;43;1755
10425;18335;43;1749
10425;18335;43;1761
10425;18335;43;1750
10425;18335;43;1755
10426;18336;44;6067
10427;18336;43;1755
10428;18337;44;1754
10429;18337;43;4925
10430;18338;43;1778
10430;18338;43;1691
10431;18339;43;1691
10431;18339;43;1778
10431;18339;43;1750
10432;18341;43;1778
10433;18342;44;5085
10434;18342;43;4939
10435;18343;43;4909
10436;18343;44;1751
10436;18343;44;1768
10437;18344;44;1752
10438;18344;43;4936
10439;18345;44;1754
10440;18345;43;5256
10441;18346;44;1777
10442;18346;43;5256
10443;18347;43;4907
10444;18347;44;1751
10445;18348;44;1752
10446;18348;43;4926
10447;18349;44;1751
10448;18349;43;4909
10449;18350;44;1768
10450;18350;43;5257
10451;18351;43;6068
10452;18351;44;1754
10453;18352;44;1751
10454;18352;43;6069
10455;18353;43;4909
10456;18353;44;1754
10456;18353;44;1751
10457;18354;44;1768
10458;18354;43;4909
10459;18355;44;1751
10460;18355;43;4909
10461;18356;44;1768
10462;18356;43;4915
10463;18357;44;1754
10464;18357;43;4925
10465;18358;44;1754
10465;18358;44;1751
10466;18358;43;4884
10467;18359;44;939
10468;18359;43;4907
10469;18360;44;1777
10470;18360;43;4909
10471;18361;44;1751
10472;18361;43;6070
10473;18362;44;1751
10474;18362;43;6071
10475;18363;44;1754
10476;18363;43;4907
10477;18364;44;1751
10478;18364;43;6072
10479;18365;44;1754
10480;18365;43;5769
10481;18366;43;4926
10482;18366;44;1754
10483;18367;43;4936
10484;18367;44;1751
10485;18368;44;6073
10486;18368;43;6074
10487;18369;43;4907
10488;18369;44;6075
10489;18370;43;5769
10490;18370;44;1754
10491;18418;45;1804
10492;18371;43;6076
10493;18371;44;1751
10494;18372;43;6034
10495;18423;51;777
10496;18423;9;4763
10496;18423;9;4291
10496;18423;9;871
10497;18424;9;4264
10497;18424;9;3815
10497;18424;9;4337
10497;18424;9;4262
10497;18424;9;4259
10497;18424;9;4357
10497;18424;9;3816
10497;18424;9;4413
