default_code;product_tmpl_id;id;volume;weight
M0646055;9743;21502;;
4897402;39648;86837;;
1093931;32601;72155;;
4155440;32946;72794;;
6433970;36470;80463;;
4448416/44-46;25402;56045;;
M0173605;30990;68698;;
M0177601;30991;68699;;
2181112/40;33025;72980;;
PR/31333;15095;33877;;
PR/81276;9230;83838;;
M0619026/3XL;9474;20579;;
4061501/03;11657;25597;;
1373606;30605;67764;;
9111318/2-4;15180;61698;;
M0655315;11875;26526;;
8203202;15355;34766;;
1299892;34726;76447;;
4935235/243;30695;72641;;
M0073847;30992;68700;;
5466202;35091;77340;;
1081305/18;33027;72982;;
1181832/MCC4068;32925;72760;;
M06451118/76;9439;86668;;
1161101/10;2286;3101;;
m0043301/pi;7075;13965;;
M0293888/20;21697;75900;;
1801884/16;11824;26424;;
M0619023/XL;9471;20576;;
M0619028/S;9476;20581;;
M0779204/M;30975;76556;;
4700919;33481;73911;;
M08347034/OL;30158;66798;;
1003662/02;14678;72865;;
m0043302/05;7078;13975;;
2351774/FT;14509;30634;;
1181832/MCC4080;32925;72761;;
1613804/SG;13071;28590;;
1080809;25141;54982;;
4267413;30619;67775;;
1181832/MCC4140;32925;72762;;
2350513;32915;72735;;
M02936083;30906;68423;;
M0170662;32916;72737;;
4936083;13779;29828;;
1161323/10;2427;2662;;
8485787;39508;86534;;
1157820;39490;86507;;
m0043304/pi;7075;13969;;
M0101810/KY;9714;21459;;
PR/31335;15095;33879;;
1426003;30484;67535;;
4061501/05;11657;25596;;
PR/GU1;39573;86634;;
1997405;30818;68225;;
M0655256;39775;87098;;
M0618000/45;8116;16081;;
M0591108/14;18779;40771;;
4061501/1;11658;25599;;
M0101806/RA;9715;21462;;
7391156/70;36854;81185;;
PR/81277;9230;83839;;
64338136;41298;90234;;
M0619037/M;9477;20582;;
M0745601;40902;89366;;
4028521/42;18468;39526;;
M0291764/HO;34272;75606;;
M0592801;14738;31644;;
1705728;33131;73166;;
M06451987;43591;95447;;
M06451991;32367;71650;;
4701326/04;36458;80424;;
M06451973/71;40563;90235;;
4448408/39-42;25408;56067;;
1078903/48;8868;18906;;
6156806;7784;15411;;
M01710073;36869;81212;;
4935241/300;22930;50352;;
1370420;13663;29712;;
M0748910/S;30080;66690;;
M0591931/00;37235;81979;;
M0292703;32992;72905;;
PR/84304;13171;86852;;
4046712/08;18443;39379;;
4701763/CO;17406;72853;;
4028521/44;18468;39531;;
4935705;30696;67938;;
m0043304/tf;7075;13968;;
M0399601/M;8880;18965;;
PR/31336;15095;33880;;
1373607;30606;67765;;
PR/71722;7041;74309;;
1156101;32940;72788;;
M0618000/47;8116;16079;;
9111491/120;15185;64171;;
4061501/3;11658;25600;;
2401829/PE;38269;84026;;
2035119/71;35528;78557;;
1161407/09;2912;5110;;
m0043305/01;7091;14032;;
M0745352;40901;89365;;
1299964;7364;14369;;
M0667402/CH;10978;86915;;
2351778/16;14504;30629;;
M0619232/L;9490;20607;;
M0646523/36;9778;21625;;
11639048;32420;71746;;
4061502/3;25453;56361;;
11638065;32219;71374;;
M0619231/L;9489;20601;;
1078904/44;8869;18909;;
1080238/50;25088;62624;;
M0837407;33139;73174;;
7410574;34245;75502;;
M0090617;37892;83307;;
M0837432;38619;84712;;
M0837436/30;42382;95448;;
6680404;13206;29255;;
1163805/K;3190;5997;;
6680405;28555;63140;;
2163603;41309;90246;;
M0071917;41314;90253;;
2163604;41309;90247;;
M0811051;41310;90248;;
2927607;9269;20342;;
1892701/30;32629;72187;;
4061602/749;26919;59523;;
2164303;34418;75845;;
M0656095;32993;72906;;
M02915066/51;33349;73642;;
1471701/20;24630;54012;;
9227205;31973;70928;;
4936077;30698;67941;;
4937441;31162;69080;;
4291718/NO;11651;72854;;
PR/31340;15095;33884;;
42649012;41307;90244;;
1181835/810;8598;17847;;
1471701/49;24630;54015;;
1471703/62;24632;72855;;
M0618001/40;8133;16114;;
M0618003/39;8138;16124;;
M0619239/XL;9494;20622;;
5465221;34977;76949;;
4061702/256;27137;60069;;
M0747516;30844;68283;;
1299911;7330;14336;;
1181840/IG;8594;17827;;
1299930;7335;14340;;
1705710;3413;6400;;
M0746223;40903;89367;;
1797624;5183;9015;;
5465357;35114;77400;;
M0073877/113;6286;11862;;
1778001/46;11468;25294;;
M0329506/M;6924;13613;;
6432109;23074;50824;;
8731619/RCF;41588;90801;;
1080831;33073;73055;;
2401903/04;28468;62863;;
M0592806;14739;31645;;
M0619232/M;9490;20605;;
64339110;42033;91796;;
m0043305/02;7091;14031;;
M08347036;6878;13528;;
m0043306;7092;14033;;
2161301/06;41313;90252;;
2161301/08;41313;90251;;
4603627;37356;82237;;
M0073869;6250;11809;;
M0041722/ON;38483;84461;;
M0654912;34350;75718;;
M02915067/62;33350;73648;;
PR/81278;9230;83840;;
1181802/T;8596;17835;;
M0657438;11953;26604;;
1181840/SA;8594;17824;;
M0329110/M;8722;18385;;
M01710037;33201;73317;;
1908401/4346;31581;70067;;
1161407/18;2912;5109;;
m0041502/03;7674;15054;;
1299929;7339;14342;;
1299935;7337;14343;;
1299924;7338;14344;;
1299934;7340;14345;;
1299928;7342;14346;;
1299937;7343;14348;;
1299941;7345;14349;;
1299933;7344;14350;;
1299936;7349;14353;;
1299943;7348;14354;;
1299945;7351;14356;;
1299946;7352;14357;;
1299950;7353;14358;;
1181840/OI;8594;17825;;
1181745/203;8529;17310;;
M0329503/M;6924;13614;;
1299948;7354;14359;;
1299953;7355;14360;;
1299951;7357;14362;;
M0041722/SP;38483;84460;;
4935118;30700;67943;;
M0618003/43;8138;16122;;
PR/ADS;38156;83820;;
1299954;7360;14364;;
M0837436/20;42382;95450;;
M0656518;39027;85488;;
9816077;41305;90242;;
5466032;23974;53015;;
1299925;7336;14341;;
1471702/20;24631;54018;;
1181619/CL;8505;17165;;
1181874/HK5;8565;17719;;
7410575;34246;75503;;
M01710045;32455;71826;;
8731619/SH;41588;93349;;
1181874/11;8565;17720;;
6156814;7805;15460;;
4264909;30317;67058;;
PR/74211;34896;76796;;
7392812;32979;72857;;
M0165168;34910;76822;;
M00733036/20;37255;82014;;
M0619241/L;9497;20627;;
M0645725;39491;86508;;
M0041723/RO;38484;84464;;
1299955;7363;14366;;
1299959;7361;14367;;
1299965;7362;14368;;
1299968;7365;14370;;
1299967;7367;14372;;
2257402;30821;68228;;
1299971;7368;14373;;
PR/69973;27904;72563;;
M0165171;36444;80399;;
M0837436/25;42382;95449;;
1299972;7371;14376;;
64339112;42035;91798;;
M0591108/18;18779;40769;;
1299975;7373;14378;;
1299973;7374;14379;;
1299977;7375;14380;;
1299978;7376;14381;;
M0619241/M;9497;20626;;
1299981;7378;14383;;
M0619241/XL;9497;20628;;
M0657409;32443;71803;;
1181836/767;8600;17863;;
1613880/15;23796;72739;;
21805046;35637;78821;;
M0040530;29281;64835;;
7361328/5-0;3717;7544;;
1078904/46;8869;18910;;
m0043308/20;7083;13993;;
2229016/L;6030;11222;;
1778001/45;11468;25293;;
1833309/xs;5781;10665;;
1083668/28;13155;29044;;
1181824/CS;8576;17757;;
1706003;30721;67978;;
1181824/WK;8576;17758;;
M0320550;42112;92019;;
M0090285;38198;83893;;
M0040529;29279;64829;;
1081314/12;25160;55151;;
1299966;7366;14371;;
M0299003/L;32943;72791;;
5467411;32937;72785;;
1471702/5D;24631;54023;;
2277606;2660;4567;;
4700455;33772;74498;;
PR/71724;7041;74311;;
5349008/XL;37110;81764;;
1181843/070;8590;17803;;
4265869;12320;27190;;
1082136;32980;72858;;
1168907/XL;34205;75425;;
1299969;7369;14374;;
1299980;7380;14385;;
1181840/NW;8594;17826;;
1299988;7383;14388;;
1299992;7385;14390;;
1271769/56;31278;72873;;
1299996;7386;14391;;
1299991;7387;14392;;
1299995;7388;14393;;
M0041723/RT;38484;84463;;
1299997;7392;14397;;
4291807/654;31401;79171;;
2037806/3006;13837;79112;;
1181802/GA;8596;17837;;
4061706/252;11659;25617;;
21799353;7418;14423;;
4386005;8289;16473;;
M0656079;36031;79497;;
1611513/10;13052;72740;;
2035181;35166;77474;;
1181838/P21;8592;17814;;
1181823/511;8601;17867;;
M0619242/L;9489;20632;;
64339111;42034;91797;;
1181907/01;8975;19364;;
1261605;9069;19580;;
1891101/45;32645;72208;;
4028524/42;18480;39594;;
8487209;30533;67600;;
1800301;26574;58874;;
4028524/40;18480;39592;;
8731319/30;42760;93353;;
4701096;31848;70711;;
1169427;31883;70772;;
1091108/WE;29650;65731;;
M0253885;25972;57311;;
M0090101;26917;59492;;
2927440;31956;70910;;
7137703;36332;80132;;
M0619404;9535;20706;;
M0619501/12;9536;20707;;
M0619510;9539;20713;;
7391825/L20;32956;81347;;
M0043326/20;7083;82636;;
M0092801;32941;72789;;
21799538;7439;14443;;
21799568;7440;14445;;
21799545;7441;14447;;
4163637;33840;74615;;
PR/69580;28763;72169;;
1611305/1;23830;52518;;
M0101711/101;9578;20791;;
PR/CF1;36624;80774;;
M0656042;38266;84019;;
M0101723/101;9588;20852;;
2037806/300;13837;79113;;
M0320543;37978;83466;;
M0745105/71;30615;67773;;
1181843/308;8590;17802;;
M0179202/XL;8252;16350;;
1271730/B22;9163;19979;;
1078904/48;8869;18911;;
1271764/419;9170;20031;;
9111912/2;15170;34539;;
1083668/30;13155;29041;;
7410576;34247;75504;;
4161003;17590;38364;;
M0101401/09;9227;20203;;
M0811053;41312;90250;;
2331805/05;39535;86574;;
1003319/F1;14655;31204;;
4127402/M;2804;4910;;
2345137;38937;85288;;
4514702/50;12708;27655;;
PR/DOU;41308;90245;;
M0811052;41311;90249;;
4264901;22368;49511;;
M0811917;35552;78631;;
1908402/4043;31582;70071;;
4161004;33133;73168;;
PR/70664;15095;73252;;
M02536068;30599;67758;;
1081527/06;13116;28844;;
13859126;30601;67760;;
2179970/O;7451;14456;;
M0619513/S;9541;20715;;
PR/51847;6091;54394;;
2117706;7852;15672;;
1299908;7327;14332;;
1181884/DSA;8626;17919;;
M0101726/S02;9595;20893;;
PR/70288;26279;72876;;
2179979;7460;14465;;
1299907;7320;14326;;
1299906;7323;14328;;
64339086;41688;91082;;
1299910;7325;14329;;
M0041065;33254;73439;;
7398106/41;16848;61399;;
PR/CF3;36626;80776;;
M01718360/SML;7037;21214;;
M0647701;9800;21676;;
1856209;35064;77295;;
1613854/CS;23773;52330;;
4265653;12243;27113;;
M0291047;32944;72792;;
PR/84305;13171;86853;;
7138913/52;7110;14091;;
1829504/100;22251;49117;;
M0744304;2860;4975;;
1181825/19;8560;17685;;
M0745134/66;2885;5032;;
1613853/20;23787;52353;;
M0101723/424;9588;20854;;
1181881/AJO;8591;17805;;
M0101839/CAJ;9610;21047;;
7398205/43;33015;72960;;
1707450;39024;85485;;
8731319/20;42760;93354;;
2035292/3006;38214;83910;;
M0321880/CR;33943;74869;;
9111916/2;15126;34338;;
M0507715;15341;34744;;
M0101838/337;9673;21348;;
1299916;7328;14333;;
M0040525;8051;15980;;
1299912;7329;14334;;
1299923;7331;14335;;
8655811;24150;53378;;
2035297/3006;35769;79120;;
7410237;18327;39176;;
1801720/400;9907;22010;;
M0645130;9556;20742;;
5465601;12532;27427;;
7390527;16859;36459;;
1081527/08;13116;28846;;
M0251423/N8;25484;56559;;
1271702/11;9134;72878;;
M0251423/N10;25484;56560;;
M08347033;6730;12885;;
M0745113/71;30456;67490;;
7391045;16869;36469;;
4061708/109;11659;25601;;
1948904/42;31217;69262;;
PR/75600;35414;78183;;
8731813/LSC;10193;22490;;
8007609;29978;66491;;
1217607;26637;58937;;
4266570/30;24078;85268;;
PR/CH3;39568;86628;;
M0656101;37193;81925;;
2035214/300;23052;58000;;
M0042201;9943;22070;;
64339095;42019;91779;;
6433028;42017;91777;;
1003662/10;14678;31258;;
7391047;32955;72814;;
1802579;10169;22433;;
2277608;2662;4569;;
1180505;30726;67985;;
6680406;28578;63205;;
8731318/30;42759;93351;;
8731323/30;42764;93367;;
4935261/3006;38593;93355;;
8731321/30;42762;93362;;
8731618/PS;41587;93360;;
PR/70665;15095;73253;;
PR/73445;2426;76031;;
8731813/HHA;10193;22494;;
M0251423/N11;25484;56561;;
5049402;25442;56199;;
7391107/22;16879;36568;;
7391108/30;16880;36575;;
7391109/80;16874;36547;;
2129101/M;22446;49628;;
4061708/245;11659;25603;;
1299962;30475;67522;;
7391116/18;16884;36594;;
PR/69975;27904;72565;;
8203215;15368;34779;;
2401330;11461;25273;;
M0745134/71;2885;5031;;
7391148/16;27707;61390;;
7391148/30;27707;61388;;
M0810518;36181;79786;;
1829503/100;22250;49115;;
1908402/4346;31582;70070;;
1003806;13961;30071;;
2396046;38761;84927;;
8203214/VRC;15367;34778;;
43033019;5483;9730;;
1247402;30614;67772;;
8203222/VP;15373;34784;;
2400501/H;25253;55357;;
2035115/71;23041;50713;;
1802519/18;10910;24463;;
4162301;11711;25841;;
8731318/40;42759;93350;;
M0040527;29277;64825;;
4700923;37472;82433;;
21810015;29134;64506;;
4700924;37473;82434;;
M0041337/1008;38558;84628;;
4029401;28992;64142;;
64339097;42021;91781;;
2331804/15;39534;86568;;
64339094;42018;91778;;
2401373/06;25267;55549;;
M0618013/41-38;8418;68851;;
M0747418;37528;82523;;
M0320402;3853;8369;;
7376016;31610;70160;;
1081527/10;13116;28845;;
1299961;30474;67521;;
1299942;30556;67652;;
